id,nombre,cantidad,precio_oferta,precio,precioPorKilo,categoria
404662,TONNO MARUZZELLA ,ALL'OLIO D'OLIVA ,2.00,2.99,10.0000,Alimentari
404685,KIWI HAYWARD,AL KG,<nil>,2.49,0.0000,Ortofrutta
404686,PATATE PASTA GIALLA ,,<nil>,0.89,<nil>,Ortofrutta
404701,BIRBE RINGS AMADORI ,G 270 ,<nil>,3.19,11.8100,Macelleria
404952,VERDICCHIO CASTELLI DI JESI DOC,COLLINE SARTARELLI,<nil>,4.99,<nil>,Bevande
404960,BIBITE SAN BERNARDO,VARI TIPI ,0.57,0.85,0.0000,Bevande
405013,GALANI DEI DOGI GECCHELE,G 150,<nil>,1.99,13.2700,Alimentari
406142,DOCCIA FELCE AZZURRA ,VARI TIPI,1.33,1.99,<nil>,Igiene persona
404682,INSALATA POKER RUCOLAE CAROTE,G 200 ,<nil>,0.89,4.4500,Ortofrutta
406044,OLIO EXTRA VERGINE DI OLIVA 100% ITALIANO,SAPIO,<nil>,9.49,<nil>,Alimentari
406178,TOVAGLIOLI,HAPPY NICKY,<nil>,1.59,<nil>,Igiene casa
406235,COPERCHIO 28 CM,,<nil>,6.90,<nil>,Casa e cucina
404703,COTOLETTA LA VIENNESE AIA ,G 300 ,<nil>,3.49,11.6300,Macelleria
404766,FORMAGGIO DI PECORA,BRIGANTE PINNA,<nil>,1.89,18.9000,Gastronomia
404814,MAASDAM/FONTAL COAL ,G 250 ,<nil>,2.59,10.3600,Self service
404833,VALLE' NATURALMENTE ,G 250 ,<nil>,1.39,5.5600,Self service
404912,WURSTEL PURO DI SUINO COAL ,G 100 ,<nil>,1.35,5.4000,Self service
404779,PROSCIUTTO CRUDO NAZIONALE GUALERZI,,<nil>,2.39,23.9000,Banco al taglio
404834,PANNA CHEF SENZA LATTOSIO PARMALAT ,ML 125 X 3 ,<nil>,2.99,7.9700,Alimentari
404943,SPUMANTE BLANC DE BLANCS MILLESIMATO,EXTRA DRY,<nil>,4.89,0.0000,Bevande
404984,BURRO LA MONTANARA ORO DELLA TORRE ,G 250 ,3.61,5.39,14.4400,Gastronomia
405927,FILETTI DI SGOMBRO RIO MARE ,ALL'OLIO D'OLIVA ,<nil>,1.99,15.9200,Alimentari
405944,ACETO BALSAMICO DI MODENA IGP COAL ,ML 500 ,<nil>,1.69,<nil>,Alimentari
404698,HAMBURGER CON FUNGHI ,,<nil>,11.90,<nil>,Macelleria
405027,BEVANDA SOIA 100% ITALIANA,ORASI,1.80,2.69,<nil>,Bevande
405997,RISO GALLO ,3 CEREALI ,<nil>,2.49,3.1100,Alimentari
406026,CARCIOFI TAGLIATI NERI ,G 170 ,2.87,4.29,16.8800,Alimentari
406054,OLIO EXTRA VERGINE DI OLIVA,MONINI,7.36,10.99,<nil>,Alimentari
406171,CARTA CUCINA,ASSO ULTRA FOXY,1.94,2.89,<nil>,Igiene casa
404677,SPINACI ,AL KG,<nil>,1.99,0.0000,Ortofrutta
404805,FILETTI ALICI PICCANTI,FACINO,<nil>,2.29,22.9000,Self service
404827,BOCCONCINI DI MOZZARELLA,SASSANO,<nil>,2.89,11.5600,Self service
404832,GRAN MIX CLASSICO FERRARI ,G 100 ,<nil>,1.59,15.9000,Self service
404911,WURSTEL PURO DI SUINO COAL ,G 100 ,<nil>,0.59,5.9000,Self service
404914,PESTO GENOVESE BUITONI ,G 130,1.73,2.59,13.3100,Self service
404926,FILETTI DI MERLUZZO ALLA MUGNAIA FROSTA ,G 220 ,3.14,4.69,14.2700,Surgelati
404979,ACQUA ROCCHETTA NATURALE,"L 1,5",0.43,0.65,<nil>,Bevande
404968,SANBITTER ,ROSSO/DRY ,<nil>,3.99,0.0000,Bevande
404971,COCA COLA ,VARI TIPI,<nil>,0.99,<nil>,Bevande
405021,KINDER MAXI BARRETTE ,X 6 G 126 ,<nil>,1.99,15.7900,Alimentari
405029,ORZO MONDO MOKA 3 GOBBETTI,G.500,1.37,2.05,2.7400,Alimentari
405910,PANE DI GRANO DURO MULINO BIANCO ,G 400 ,<nil>,1.09,2.7300,Alimentari
405992,LEGUMI,VALFRUTTA,<nil>,0.99,<nil>,Alimentari
406143,AMMORBIDENTE CONCENTRATO COCCOLINO ,VARI TIPI,<nil>,2.99,<nil>,Igiene casa
406204,TRIS SPUGNA ABRASIVA,GRANDE ARIX,0.86,1.29,<nil>,Igiene casa
404680,MISTICANZA ,VASCHETTA ,<nil>,0.89,<nil>,Ortofrutta
404705,SPINACINE AIA ,G 500 ,<nil>,4.49,8.9800,Macelleria
404889,SPECK IGP SENFTER ,G 100 ,<nil>,2.69,26.9000,Self service
404915,SUGO 4 FORMAGGI BUITONI,G 160 ,2.00,2.99,12.5000,Self service
404917,BUON MINESTRONE OROGEL ,G 750 ,2.28,3.40,3.0400,Surgelati
405012,FECOLA DI PATATE PANEANGELI ,G 250 ,<nil>,0.99,3.9600,Alimentari
405947,PASTA DI SEMOLA DELVERDE,VARI FORMATI CLASSICI,0.86,1.29,1.7200,Alimentari
406021,MISTO FUNGHI CON PORCINI NERI,G 200 ,2.67,3.99,13.3500,Alimentari
404702,HAMBURGER DELICATO AMADORI ,G 204,<nil>,2.19,10.7400,Macelleria
404962,BIRRA ICHNUSA,CL 66,<nil>,1.49,<nil>,Bevande
406139,SAPONE LIQUIDO,PALMOLIVE,1.94,2.89,<nil>,Igiene persona
406156,COLLUTORIO ANTIPLACCA,IODOSAN,<nil>,3.49,<nil>,Igiene persona
406229,SALTAPASTA JUMP 26 CM,,<nil>,12.90,<nil>,Casa e cucina
406231,BISTECCHIERA 28X28 CM,,<nil>,15.90,<nil>,Casa e cucina
404699,PETTO DI POLLO CROCCANTE ,,<nil>,11.90,<nil>,Macelleria
404837,MUU MUU CAMEO ,CACAO/VANIGLIA,<nil>,2.29,4.9800,Self service
404886,WURSTEL POLLO E TACCHINO ,EVVIVA AMADORI ,1.06,1.59,4.2400,Self service
405019,MISTRA,BALDORI,<nil>,7.39,<nil>,Bevande
405908,GRANELLA DI NOCCIOLE,VENTURA,<nil>,2.29,28.6300,Alimentari
406230,RETTANGOLARE 35X24 CM,,<nil>,19.90,<nil>,Casa e cucina
404697,ZUCCHINE RIPIENE ,AL KG,<nil>,10.90,<nil>,Ortofrutta
404831,MOZZARELLA NONNO NANNI," G 125 ",<nil>,1.39,11.1200,Self service
404874,SALMONE NORVEGESE AFFUMICATO,COAL,<nil>,4.59,45.9000,Self service
404902,MORTADELLA BOLOGNA IGP ,CON PISTACCHIO VERONI ,<nil>,4.99,14.2600,Self service
405016,TAVOLETTE GALAK,NESTLÈ,<nil>,1.99,<nil>,Alimentari
405022,KINDER CEREALI ,X 6 G 141,<nil>,2.89,20.5000,Alimentari
405903,BISCOTTI MULTICEREALI SENZA LATTOSIO ,SI CON RISO SCOTTI ,<nil>,1.99,7.9600,Alimentari
405919,PATATINE PAI,CONF. TRASPARENTE,<nil>,1.59,5.3000,Alimentari
404679,MELE RED DELICIOUS ,,<nil>,1.29,<nil>,Ortofrutta
404887,SALAME NEGRONETTO,NEGRONI,1.67,2.49,22.2700,Self service
405980,LENTICCHIA BONTA' MEDITERRANEA,G 500,<nil>,2.49,4.9800,Alimentari
406019,INSALATINA ACETELLI,SACLA',1.27,1.89,8.4700,Alimentari
406092,DETERGENTE PAVIMENTI IGIENIZZANTE,ACE,<nil>,1.79,<nil>,Igiene casa
406113,SGRASSATORE,ACE,2.04,3.05,<nil>,Igiene casa
406133,DETERSIVO PIATTI AL LIMONE,LAST,1.27,1.89,<nil>,Igiene casa
406212,PADELLA 24 CM,,<nil>,9.90,<nil>,Casa e cucina
404661,PROSSCIUTTO COTTO ,ALTA QUALITA' PARMACOTTO ,1.53,2.29,15.3000,Gastronomia
404761,CAMOSCIO D'ORO ,,<nil>,1.39,13.9000,Gastronomia
404785,SALAME EXTRA CLAI ,UNGHERESE/MILANO ,<nil>,1.69,16.9000,Gastronomia
404819,FETTINE KRAFT ,CLASSICHE ,<nil>,1.49,8.5100,Self service
404961,BIRRA HEINEKEN,CL 33 X 3,<nil>,2.99,<nil>,Bevande
404983,BEVANDE SAN BENEDETTO,PASSIONE ITALIANA,0.54,0.80,<nil>,Bevande
405024,GRANFETTA VITALITA',DELVERDE,1.20,1.79,4.0000,Alimentari
405899,LINEA SI CON RISO SCOTTI ,G 190 - G 200 - G 222 - G 250 - G 350,<nil>,2.49,<nil>,Alimentari
404664,UOVA COPAV ,X 6 PZ,1.27,1.89,<nil>,Alimentari
404700,PETTO DI POLLO SOTTILE ,AMADORI 10+,<nil>,14.90,<nil>,Macelleria
404762,SCAMORZA,SASSANO,<nil>,1.19,11.9000,Gastronomia
404925,CROCCOLE FINDUS ,VARI TIPI,<nil>,3.99,<nil>,Surgelati
404954,VINO CASTELLINO ,BIANCO/ROSSO ,<nil>,1.85,<nil>,Bevande
406000,MAYONNAISE KRAFT VASO,GR.465,<nil>,2.89,6.2200,Alimentari
406146,DENTIFRICIO IODOSAN,PROTEZIONE GLOBALE,<nil>,2.49,<nil>,Igiene persona
406228,PADELLA 28 CM,,<nil>,10.90,<nil>,Casa e cucina
404663,ARANCE TAROCCO COAL ,,<nil>,1.99,<nil>,Ortofrutta
404830,FIOCCHI DI LATTE SANTA LUCIA GALBANI ,G 180 ,1.17,1.75,6.1600,Self service
404865,LATTE ACCADI UHT GRANAROLO,PS/SCREMATO,1.33,1.99,<nil>,Bevande
404888,GRAN ANTIPASTO AFFETATTO NEGRONI,G 120,3.34,4.99,27.8300,Self service
404916,CONTORNO GRIGLIATO COAL ,G 450,<nil>,2.89,6.4200,Surgelati
406144,SHAMPOO/BALSAMO PANTENE,VARI TIPI,<nil>,2.99,<nil>,Igiene persona
404684,ANANAS,ORSERO,<nil>,1.49,<nil>,Ortofrutta
404763,PROVOLONE PICCANTE SORESINA ,SELEZIONE NERO ,<nil>,1.19,11.9000,Gastronomia
404904,PASTA FRESCA RIPIENA MOSCONI ,VARI TIPI ,<nil>,3.59,14.3600,Alimentari
404921,SPINACI CUBELLO FOGLIA PIU' OROGEL ,G 900 ,2.67,3.99,2.9700,Surgelati
405983,PASTA ALL'UOVO/ DI SEMOLA,DELVERDE,0.86,1.29,3.4400,Alimentari
404704,CORDON BLEU AIA ,G 490 ,<nil>,4.49,9.1600,Macelleria
404863,YOGURT SVELTESSE KEFIR,NESTLÈ,1.47,2.19,2.9400,Self service
404905,CUBETTI DI PANCETTA BERETTA ,DOLCE/AFFUMICATA ,<nil>,2.99,19.9300,Self service
404920,PIZZA RISTORANTE CAMEO ,VARI TIPI ,<nil>,2.89,<nil>,Surgelati
404929,COPPA ORO SAMMONTANA ,CIOCCOLATO DI MODICA/AMARENA FABBRI,2.87,4.45,7.9700,Surgelati
406209,PADELLA 20 CM,,<nil>,8.90,<nil>,Casa e cucina
404676,LATTUGA ROMANA,AL KG,<nil>,1.29,<nil>,Ortofrutta
404764,RICOTTA DI PECORA MARUSELLA ,,<nil>,0.70,7.0000,Gastronomia
404769,SPECK ALPENROSE ,,<nil>,1.59,15.9000,Gastronomia
404930,GELATI NUII ,G 284 - G 272 - G 264 ,<nil>,3.99,0.0000,Surgelati
405989,PASSATA DI POMODORO JOLLY COLOMBANI ,BRICK G 390 ,0.52,0.79,1.3300,Alimentari
406069,PANNI CATTURA POLVERE,COAL,1.47,2.19,<nil>,Igiene casa
404683,BROCCOLO FILMATO,G 500,<nil>,0.99,1.9800,Ortofrutta
404689,CICORIA COAL ,G 500 ,<nil>,1.49,2.9800,Ortofrutta
404690,PETTO DI POLLO INTERO ,,<nil>,8.90,<nil>,Macelleria
404790,MORTADELLA CON PEPERONCINO,LEONCINI,<nil>,0.99,9.9000,Gastronomia
404794,MORTADELLA FAVOLA,CON COTENNA,<nil>,1.33,13.3000,Gastronomia
404862,YOGURT YOMO ,VARI TIPI ,1.06,1.59,4.2400,Self service
405923,TONNO,NOSTROMO,<nil>,2.99,0.0000,Alimentari
405986,POMODORINI ROSSO GARGANO ,G 400,0.77,1.15,1.9300,Alimentari
404758,PARMIGIANO REGGIANO DOP ,,<nil>,1.69,<nil>,Gastronomia
404909,GRAN CRUDO SNELLO,ROVAGNATI,<nil>,2.99,42.7100,Self service
405020,KINDER BUENO ,CLASSICO/WHITE X3 ,<nil>,1.99,<nil>,Alimentari
405999,RISO GALLO,RISOTTI,2.20,3.30,<nil>,Alimentari
406056,PATE'/FILETTI CANE CESAR ,VARI TIPI G 150 ,<nil>,0.99,6.6000,Pet
404798,FILETTO BROSME,SALATO 400/700,<nil>,0.99,9.9000,Self service
404760,SQUAQUERELLO,NONNO NANNI,<nil>,1.39,13.9000,Gastronomia
404828,STRACCIATELLA TAKE AWAY ,VALLE VERDE  ,<nil>,2.89,11.5600,Self service
404927,FIORI DI MERLUZZO FINDUS ,X4 G 300 ,<nil>,6.99,23.3000,Surgelati
404982,BEVANDE,SKIPPER ZUEGG,1.40,2.10,<nil>,Bevande
406141,DEODORANTI UOMO/ DONNA,MALIZIA,<nil>,0.00,<nil>,Igiene persona
404691,FETTINE SCELTISSIME DI VITELLO,,<nil>,17.49,<nil>,Macelleria
404928,SUGO PRONTO ALLO SCOGLIO,ESCA,<nil>,3.99,8.8700,Surgelati
405015,CARAMELLE,HARIBO,<nil>,1.09,<nil>,Alimentari
406010,PESTO ALLA GENOVESE,SACLA',1.27,1.89,14.1100,Alimentari
404693,COPPA CON OSSO,DI SUINO,<nil>,5.90,<nil>,Macelleria
404816,MOZZARELLA OGGI PUOI GRANAROLO,G 100 X 3 ,<nil>,2.99,9.9700,Self service
404829,SPALMABILE NUVOLA SANTA LUCIA GALBANI,G 180 ,1.27,1.89,7.0600,Self service
404941,PASSERINA FRIZZANTE IGT NINO 55,CL 75,<nil>,2.99,<nil>,Bevande
404977,BIRRA KOZEL ,LAGER/DARK,<nil>,1.19,<nil>,Bevande
405892,BISCOTTI MULINO BIANCO,PAN DI STELLE/ BATTICUORI/ ABBRACCI/NASCONDINI,<nil>,1.99,<nil>,Alimentari
406004,OLIVOLI' SNOCCIOLATE SACLA',G 120 ,1.13,1.69,9.4200,Alimentari
406040,GLASSA ALL'ACETO BALSAMICO COAL ,G 250 ,<nil>,1.89,7.5600,Alimentari
404801,BACCALA' FRAZIONATO 10/12 ,,<nil>,2.09,20.9000,Self service
404910,LINEA SNELLO ,ROVAGNATI,<nil>,2.39,23.9000,Self service
405011,LIEVITO PANEANGELI,X3 G 48,<nil>,1.00,20.8300,Alimentari
405025,CAFFE' KIMBO MACINATO FRESCO," G 250 ",<nil>,2.99,11.9600,Alimentari
405028,BEVANDA AL LATTE DI MANDORLA MANDORLÈ,CLASSICO/CON MENTA,1.67,2.49,<nil>,Bevande
405913,PANGRATTATO FORNO DI FERENTILLO ,BARATTOLO ,<nil>,1.69,4.2200,Alimentari
406232,TEGAME 2 MANIGLIE 28 CM,,<nil>,13.90,<nil>,Casa e cucina
406233,CASSERUOLA 2 MANIGLIE 24 CM,,<nil>,15.90,<nil>,Casa e cucina
404706,TAGLIATA DI FILETTO DI SUINO AIA ,G 300 ,<nil>,4.49,14.9700,Macelleria
404772,PROSCIUTTO CRUDO,,<nil>,1.69,16.9000,Gastronomia
404919,SEPPIE INTERE PULITE COAL ,G 400 ,<nil>,6.89,17.2200,Self service
406136,CANDEGGINA ACE GENTILE ,ML 950 ,<nil>,1.99,<nil>,Igiene casa
404767,LONZINO,,<nil>,1.99,19.9000,Gastronomia
404918,PISELLI NOVELLI FINDUS ,KG 1 ,<nil>,3.99,<nil>,Surgelati
404942,VINO BOSCO,ROSSO IL GRAPPOLO / PASSERINA /PECORINO,<nil>,5.69,<nil>,Bevande
405995,RISO GALLO BLOND INTEGRALE ,KG 1 ,<nil>,2.49,<nil>,Alimentari
406175,CARTA FORNO,DOMOPAK,<nil>,1.39,<nil>,Igiene casa
404674,MELONI GIALLI ,,<nil>,1.89,<nil>,Ortofrutta
404694,PICANHA DI BOVINO ADULTO,,<nil>,18.90,<nil>,Macelleria
404696,SALSICCIA DI POLLO E TACCHINO EUROPOLLI ,AL KG,<nil>,11.79,<nil>,Macelleria
404991,OLIO DI SEMI DI GIRASOLE,SAGRA,3.68,5.49,<nil>,Alimentari
405018,LIQUORE ALCHERMES,BALDONI,<nil>,5.49,<nil>,Bevande
405926,FILETTI DI TONNO MORO,ALL'OLIO DI OLIVA / AL NATURALE,5.35,7.79,<nil>,Alimentari
406234,COPERCHIO 24 CM,,<nil>,5.90,<nil>,Casa e cucina
404673,OLIO EXTRA VERGINE DI OLIVA CORICELLI,L 1 ,6.49,9.99,<nil>,Alimentari
404687,PASSATO DI ZUCCA ORTOROMI ,G 620,<nil>,2.29,3.6900,Ortofrutta
404765,CACIOTTA DI MUCCA TAVERNALE ,,<nil>,1.49,14.9000,Gastronomia
404808,SALMONE NORVEGESE,PREAFFETTATO,<nil>,4.29,42.9000,Self service
404913,PASTA SFOGLIA STUFFER ,ROTONDA ,0.93,1.39,4.0400,Self service
405916,PANE A FETTE FERENTILLO ,GRANO DURO/TENERO ,<nil>,0.89,5.9300,Alimentari
404678,MANDORLE SGUSCIATE,G 200,<nil>,1.99,9.9500,Alimentari
404692,LOMBATINE DI VITELLO,,<nil>,17.90,0.0000,Macelleria
404695,BUSTO DI POLLO SENZA PETTO,AL KG,<nil>,2.99,<nil>,Macelleria
404985,FARINA GRAN MUGNAIO MOLINO SPADONI,DOLCI/PIZZA,<nil>,1.29,<nil>,Alimentari
405023,LIEVITO PER DOLCI COAL ,5 BUSTE G 80 ,<nil>,0.79,9.8800,Alimentari
405888,KINDER PANECIOC,X 10 G 290 ,<nil>,2.49,8.5900,Alimentari
406084,DETERSIVO LIQUIDO MARSIGLIA,SPUMA DI SCIAMPAGNA,1.71,2.55,<nil>,Igiene casa
406158,CARTA IGIENCIA NICKY LA MAXY,X4 ROTOLI ,<nil>,1.99,<nil>,Igiene casa
404681,RUCOLA COAL ,BUSTA G 100 ,<nil>,0.89,8.9000,Ortofrutta
404688,INSALATA POKER 4 GUSTI COAL ,BUSTA G 200 ,<nil>,0.89,4.4500,Ortofrutta
404835,PANNA CHEF UHT PARMALAT ,CLASSICA/LEGGERA ,<nil>,2.89,7.7100,Self service
404922,PATASNELLA ULTRA VELOCI PIZZOLI,G 500 ,2.00,3.00,4.0000,Surgelati
406180,SACCHI NETTEZZA CON MANICI SUPER BAG ,TRASPARENTI 55X60 ,1.13,1.69,<nil>,Igiene casa
404836,LATTE UHT PS 100% ITALIANO GRANAROLO,L 1 ,<nil>,0.99,<nil>,Bevande
404965,FALERIO PECORINO DOC,DESTRIERO CANTINE CASTIGNANO,4.39,6.55,<nil>,Bevande
405026,TE' YELLOW LABEL LIPTON,50 FILTRI ,<nil>,2.99,46.0000,Alimentari
406017,DIALBRODO DIALCOS,VARI TIPI,<nil>,2.89,11.5600,Alimentari
406029,CAPPERI AL SALE,PONTI,1.20,1.79,9.6000,Alimentari
404759,MOZZARELLA BOJANO VALLE VERDE ,,<nil>,0.99,9.9000,Gastronomia
404993,MIELE LIQUIDO AMBROSOLI ,G 250 ,<nil>,2.69,10.7600,Alimentari
404995,MIELE MILLEFIORI COAL ,G 500 ,<nil>,3.99,7.9800,Alimentari
405014,BICCHIERE ZUCCHERO A VELO,COLOMBO,<nil>,0.89,7.1200,Alimentari
405030,CAMOMILLA SOLUBILE MELATONINA MAGNESIO ,X 16 FILTRI,<nil>,2.99,41.5300,Alimentari
